movie_id,title,tags
489932,Monster,"The story of Steve Harmon, a 17-year-old honor student whose world comes crashing down around him when he is charged with felony murder. Crime Drama KelvinHarrisonJr. JeffreyWright JenniferHudson JenniferEhle TimBlakeNelson AnthonyMandler"
557950,Mainstream,A young woman thinks she’s found a path to internet stardom when she starts making YouTube videos with a charismatic stranger – until the dark side of viral celebrity threatens to ruin them both. Comedy Drama AndrewGarfield MayaHawke NatWolff JasonSchwartzman JohnnyKnoxville GiaCoppola
809677,The Man Who Paints Water Drops,"This collaboration between an inscrutable artist and his filmmaker son speaks volumes, despite documenting a man of very few words, whose practice embraces meditative silence. Documentary KimTschang-yeul OanKim"
711475,Here Today,"Veteran comedy writer Charlie Berns, who is slowly but surely losing his grip on reality, befriends a talented young New York street singer Emma Payge. Together, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust. Comedy Drama BillyCrystal TiffanyHaddish PennBadgley LauraBenanti LouisaKrause BillyCrystal"
471498,Oxygen,"A woman wakes in a cryogenic chamber with no recollection of how she got there, and must find a way out before running out of air. Science Fiction Thriller Horror MélanieLaurent MathieuAmalric MalikZidi LauraBoujenah ÉricHerson-Macarel AlexandreAja"
503736,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted. Action Crime Drama Horror Science Fiction Thriller DaveBautista EllaPurnell OmariHardwick AnadelaReguera TheoRossi ZackSnyder"
578701,Those Who Wish Me Dead,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all. Thriller Action AngelinaJolie FinnLittle JonBernthal NicholasHoult AidanGillen TaylorSheridan"
520663,The Woman in the Window,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence. Crime Mystery Thriller AmyAdams GaryOldman AnthonyMackie FredHechinger WyattRussell JoeWright
766922,Spiral,"Alexander, a young actor, has been falling for a few months in a spiral of self-destruction, becoming strongly addicted to alcohol and drugs. One night, he is stabbed by drug dealers and almost dies. To get out of his addictions he wrote the scenario of a film ""Spiral"" close to autofiction where he would play the main role of Daniel. Olivier Rainer, a director whom he admires, agrees to direct the movie and make Alexander pass screen tests while rewriting the script by incorporating elements of the personal life of the actor. Alexander wishing to exorcise his demons and reach his catharsis will follow Olivier unconditionally in a blistering adventure where reality and fiction merge. Drama SofieneMamdi ConstantinLeu CécileFisera JulienRomano SolèneSalvat SofieneMamdi"
769749,Finding You,"Finley, a talented aspiring violinist, meets Beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way. Romance Drama RoseReid JedidiahGoodacre KatherineMcNamara VanessaRedgrave TomEverettScott BrianBaugh"
653712,The Killing of Two Lovers,David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife’s new relationship. Drama Thriller ClayneCrawford SepidehMoafi ChrisCoy AveryPizzuto ArriGraham RobertMachoian
738057,616 Wilford Lane,A grieving man relocates his two teen daughters to a charming town and into their dream home. Quickly the dream becomes an inescapable nightmare. Horror Action EricRoberts JasmineWaltz JessicaChancellor StevonteHart DonScribner DanteYore
603206,Dream Horse,"The inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan Vokes. With very little money and no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with the racing elites. Their investment pays off as Dream rises through the ranks and becomes a beacon of hope in their struggling community. Comedy Drama ToniCollette OwenTeale DamianLewis KarlJohnson SiânPhillips EurosLyn"
